City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,lens,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail,coordimage
 ,ISS030-E-208798,45.9,33.4,0.0,0.0,45.9,33.4,NIKON D3S S/N: 2007934,20120405,204251,212.0,340.0,-36.0,1/30,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=208798,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-208798.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-208798.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-208798.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=45.9&lon=33.4
 ,ISS030-E-239063,46.8,-1.1,0.0,0.0,46.8,-1.1,NIKON D3S S/N: 2007934,20120419,215928,211.0,326.0,-26.0,1/50,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=239063,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-239063.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-239063.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-239063.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=46.8&lon=-1.1
 ,ISS030-E-237155,35.7,58.5,0.0,0.0,35.7,58.5,NIKON D3S S/N: 2008336,20120415,210708,212.0,21.0,-42.0,1/20,85.0 mm,1.4,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=237155,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-237155.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-237155.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-237155.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=35.7&lon=58.5
 ,ISS030-E-208835,51.7,48.2,0.0,0.0,51.7,48.2,NIKON D3S S/N: 2007934,20120405,222159,211.0,26.0,-29.0,1/20,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=208835,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-208835.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-208835.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-208835.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.7&lon=48.2
 ,ISS030-E-208816,50.1,48.5,0.0,0.0,50.1,48.5,NIKON D3S S/N: 2007934,20120405,204547,211.0,359.0,-34.0,1/30,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=208816,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-208816.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-208816.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-208816.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=50.1&lon=48.5
 ,ISS030-E-208902,49.6,42.4,0.0,0.0,49.6,42.4,NIKON D3S S/N: 2007934,20120405,235719,211.0,45.0,-24.0,1/25,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=208902,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-208902.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-208902.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-208902.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=49.6&lon=42.4
 ,ISS030-E-208863,51.7,24.4,0.0,0.0,51.7,24.4,NIKON D3S S/N: 2007934,20120405,235413,211.0,26.0,-29.0,1/30,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=208863,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-208863.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-208863.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-208863.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.7&lon=24.4
 ,ISS030-E-237258,38.7,-8.3,0.0,0.0,38.7,-8.3,NIKON D3S S/N: 2007934,20120417,4804,212.0,5.0,-41.0,1/50,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=237258,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-237258.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-237258.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-237258.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=38.7&lon=-8.3
 ,ISS030-E-217476,51.7,15.9,0.0,0.0,51.7,15.9,NIKON D3S S/N: 2007934,20120411,212950,211.0,336.0,-27.0,1/25,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=217476,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-217476.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217476.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-217476.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.7&lon=15.9
 ,ISS030-E-209016,44.1,37.3,0.0,0.0,44.1,37.3,NIKON D3S S/N: 2007934,20120406,194608,212.0,328.0,-34.0,1/50,400.0 mm,2.8,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=209016,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-209016.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-209016.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-209016.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=44.1&lon=37.3
