City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,lens,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail,coordimage
 ,ISS040-E-8306,25.8,59.6,0.0,0.0,25.8,59.6,NIKON D3S S/N: 2007945,20140607.0,230810.0,222.0,47.0,-24.0,0.3,70.0 mm,2.8,8000.0,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8306,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8306.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8306.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8306.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=25.8&lon=59.6
 ,ISS040-E-8307,24.0,61.3,0.0,0.0,24.0,61.3,NIKON D3S S/N: 2007945,20140607.0,230848.0,222.0,49.0,-23.0,1/20,70.0 mm,2.8,12800.0,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8307,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8307.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8307.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8307.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=24.0&lon=61.3
 ,ISS040-E-8308,23.9,61.4,0.0,0.0,23.9,61.4,NIKON D3S S/N: 2007945,20140607.0,230850.0,222.0,49.0,-23.0,1/20,70.0 mm,2.8,12800.0,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8308,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8308.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8308.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8308.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=23.9&lon=61.4
,ISS040-E-8309,21.8,63.3,0.0,0.0,21.8,63.3,NIKON D3S S/N: 2007945,20140607.0,230934.0,222.0,51.0,-23.0,1/25,32.0 mm,2.8,12800.0,0.0,0.0,1.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8309,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8309.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8309.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8309.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=21.8&lon=63.3
,ISS040-E-8310,21.7,63.4,0.0,0.0,21.7,63.4,NIKON D3S S/N: 2007945,20140607.0,230937.0,222.0,51.0,-23.0,1/25,32.0 mm,2.8,12800.0,0.0,0.0,1.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8310,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8310.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8310.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8310.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=21.7&lon=63.4
,ISS040-E-8311,19.9,65.0,0.0,0.0,19.9,65.0,NIKON D3S S/N: 2007945,20140607.0,231014.0,223.0,53.0,-23.0,1/20,48.0 mm,2.8,12800.0,0.0,0.0,1.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8311,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8311.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8311.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8311.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=19.9&lon=65.0
A,ISS040-E-8312,18.4,66.1,0.0,0.0,18.4,66.1,NIKON D3S S/N: 2007945,20140607.0,231043.0,223.0,54.0,-23.0,1/20,70.0 mm,2.8,12800.0,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8312,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8312.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8312.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8312.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=18.4&lon=66.1
 ,ISS040-E-8313,35.4,-92.0,0.0,0.0,35.4,-92.6,NIKON D3S S/N: 2007945,20140608.0,82126.0,221.0,33.0,-24.0,0.3,28.0 mm,2.8,8000.0,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8313,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8313.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8313.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8313.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=35.4&lon=-92.6
 ,ISS040-E-8314,34.8,-91.0,0.0,0.0,34.8,-91.8,NIKON D3S S/N: 2007945,20140608.0,82142.0,221.0,34.0,-24.0,1/10,28.0 mm,2.8,8000.0,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8314,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8314.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8314.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8314.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=34.8&lon=-91.8
 ,ISS040-E-8315,34.7,-91.0,0.0,0.0,34.7,-91.7,NIKON D3S S/N: 2007945,20140608.0,82143.0,221.0,34.0,-24.0,1/10,28.0 mm,2.8,8000.0,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS040&roll=E&frame=8315,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS040/ISS040-E-8315.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS040/ISS040-E-8315.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS040/ISS040-E-8315.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=34.7&lon=-91.7
