City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,lens,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail,coordimage
 ,ISS030-E-57831,36.6,11.4,0.0,0.0,36.6,11.4,NIKON D3S S/N: 2007944,20120125,014153,208.0,69.0,-56.0,1/25,58.0 mm,1.2,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57831,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57831.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57831.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57831.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.6&lon=11.4
 ,ISS030-E-57832,37.1,12.1,0.0,0.0,37.1,12.1,NIKON D3S S/N: 2007944,20120125,014205,208.0,69.0,-55.0,1/25,58.0 mm,1.2,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57832,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57832.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57832.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57832.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.1&lon=12.1
 ,ISS030-E-57833,37.1,12.3,0.0,0.0,37.1,12.3,NIKON D3S S/N: 2007944,20120125,014207,208.0,69.0,-55.0,1/25,58.0 mm,1.2,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57833,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57833.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57833.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57833.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.1&lon=12.3
 ,ISS030-E-57836,38.6,14.4,0.0,0.0,38.6,14.4,NIKON D3S S/N: 2007944,20120125,014243,208.0,70.0,-53.0,1/40,58.0 mm,1.2,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57836,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57836.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57836.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57836.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=38.6&lon=14.4
 ,ISS030-E-57840,39.1,15.2,0.0,0.0,39.1,15.2,NIKON D3S S/N: 2007944,20120125,014255,208.0,70.0,-52.0,1/40,58.0 mm,1.2,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57840,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57840.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57840.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57840.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.1&lon=15.2
 ,ISS030-E-57841,39.1,15.3,0.0,0.0,39.1,15.3,NIKON D3S S/N: 2007944,20120125,014257,208.0,70.0,-52.0,1/40,58.0 mm,1.2,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57841,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57841.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57841.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57841.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.1&lon=15.3
 ,ISS030-E-57844,39.4,15.7,0.0,0.0,39.4,15.7,NIKON D3S S/N: 2007944,20120125,014304,208.0,70.0,-51.0,1/60,58.0 mm,1.2,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57844,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57844.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57844.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57844.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.4&lon=15.7
 ,ISS030-E-57845,39.6,16.1,0.0,0.0,39.6,16.1,NIKON D3S S/N: 2007944,20120125,014309,208.0,70.0,-51.0,1/100,58.0 mm,1.2,3200,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57845,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57845.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57845.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57845.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.6&lon=16.1
 ,ISS030-E-57849,41.1,18.6,0.0,0.0,41.1,18.6,NIKON D3S S/N: 2007944,20120125,014348,209.0,71.0,-49.0,1/60,58.0 mm,1.2,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57849,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57849.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57849.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57849.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=41.1&lon=18.6
 ,ISS030-E-57851,42.2,20.7,0.0,0.0,42.2,20.7,NIKON D3S S/N: 2007944,20120125,014419,209.0,72.0,-47.0,1/60,58.0 mm,1.2,6400,0.0,0.0,0.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=57851,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-57851.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-57851.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-57851.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=42.2&lon=20.7
